epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.149,1.09628,0.91178,1.097,0.75059,0.53389,0.63781,0.43015,1.07278,0.9219,1.12346,0.000475202,0.000475202,0.000475202
2,1364.99,1.11313,0.8317,1.10986,0.78012,0.55286,0.67012,0.46306,1.02594,0.7418,1.09498,0.000932695,0.000932695,0.000932695
3,2265.54,1.07403,0.77964,1.0884,0.71234,0.60751,0.69888,0.48107,1.0042,0.73772,1.08088,0.00137132,0.00137132,0.00137132
4,2897,1.02366,0.72554,1.06422,0.79958,0.70446,0.7701,0.55968,0.91531,0.61471,1.03762,0.00134412,0.00134412,0.00134412
5,3821.8,0.98938,0.6825,1.04207,0.82628,0.71817,0.8197,0.60382,0.87588,0.59227,1.01679,0.00131582,0.00131582,0.00131582
6,4783.05,0.94773,0.64379,1.02693,0.8258,0.75881,0.84327,0.61999,0.88317,0.59422,1.02361,0.00128753,0.00128753,0.00128753
7,5559.25,0.91879,0.61079,1.01461,0.83444,0.78307,0.86245,0.65423,0.82805,0.53789,0.99223,0.00125923,0.00125923,0.00125923
8,6000.99,0.88974,0.57975,0.9977,0.84944,0.78931,0.87188,0.66101,0.82413,0.52122,0.98961,0.00123094,0.00123094,0.00123094
9,6551.29,0.88166,0.57018,0.99525,0.85214,0.79442,0.87724,0.66234,0.81409,0.51416,0.98945,0.00120265,0.00120265,0.00120265
10,8046.51,0.85586,0.54791,0.98659,0.86741,0.81975,0.90786,0.70293,0.77023,0.47337,0.97805,0.00117435,0.00117435,0.00117435
11,8490.05,0.83772,0.53706,0.98055,0.85838,0.86346,0.91625,0.70899,0.77449,0.46959,0.97277,0.00114606,0.00114606,0.00114606
12,8951.72,0.82542,0.52602,0.97366,0.88984,0.83364,0.91372,0.71412,0.75632,0.45774,0.96734,0.00111776,0.00111776,0.00111776
13,9517.53,0.81267,0.51289,0.96861,0.90061,0.85506,0.92916,0.73242,0.72822,0.44319,0.95196,0.00108947,0.00108947,0.00108947
14,9994.3,0.79871,0.50134,0.9603,0.91333,0.86198,0.93219,0.73536,0.73443,0.43747,0.95368,0.00106118,0.00106118,0.00106118
15,10641.5,0.79052,0.49428,0.95754,0.91387,0.87841,0.93556,0.73201,0.73377,0.44276,0.95333,0.00103288,0.00103288,0.00103288
16,11237.5,0.77671,0.47913,0.9507,0.90555,0.86998,0.92972,0.74344,0.71283,0.42939,0.95157,0.00100459,0.00100459,0.00100459
17,11822.7,0.76216,0.47483,0.94386,0.91447,0.88365,0.9398,0.7553,0.70406,0.41957,0.94345,0.000976293,0.000976293,0.000976293
18,13272.8,0.75308,0.46387,0.94385,0.91989,0.88312,0.95146,0.77013,0.68527,0.40449,0.93608,0.000947999,0.000947999,0.000947999
19,13926.8,0.7364,0.4546,0.93668,0.94226,0.87725,0.94967,0.76724,0.68337,0.39673,0.93874,0.000919704,0.000919704,0.000919704
20,14314.4,0.73293,0.44723,0.93732,0.92575,0.88942,0.956,0.77511,0.67729,0.39965,0.93539,0.00089141,0.00089141,0.00089141
21,14781.6,0.71846,0.43739,0.92795,0.91328,0.89565,0.95158,0.77585,0.66859,0.39587,0.92996,0.000863116,0.000863116,0.000863116
22,15191.4,0.71102,0.43155,0.92566,0.91238,0.91506,0.95781,0.78539,0.65118,0.38525,0.92368,0.000834822,0.000834822,0.000834822
23,15619,0.70029,0.42556,0.92348,0.94349,0.91163,0.96549,0.79946,0.64426,0.36961,0.92009,0.000806528,0.000806528,0.000806528
24,16437.1,0.69136,0.42138,0.91846,0.92997,0.90767,0.96137,0.80196,0.63555,0.36955,0.91966,0.000778233,0.000778233,0.000778233
25,17240.2,0.68113,0.41386,0.91353,0.95484,0.90325,0.96233,0.79952,0.63696,0.36611,0.91605,0.000749939,0.000749939,0.000749939
26,17921.1,0.67461,0.40606,0.91195,0.95822,0.90317,0.9676,0.79588,0.62455,0.36792,0.91306,0.000721645,0.000721645,0.000721645
27,18533.9,0.66556,0.40017,0.91097,0.95854,0.91424,0.97105,0.80793,0.62257,0.35667,0.91503,0.000693351,0.000693351,0.000693351
28,19290.7,0.65306,0.39272,0.90539,0.9422,0.92957,0.96828,0.80974,0.6169,0.35095,0.90995,0.000665057,0.000665057,0.000665057
29,19998.7,0.64935,0.38813,0.90229,0.96328,0.92218,0.97207,0.81917,0.60449,0.34466,0.90655,0.000636762,0.000636762,0.000636762
30,20635,0.64221,0.38624,0.90181,0.95565,0.9124,0.97078,0.81791,0.60211,0.3407,0.90495,0.000608468,0.000608468,0.000608468
31,21116.5,0.63286,0.37643,0.89537,0.94723,0.93125,0.97241,0.81787,0.59974,0.34086,0.90072,0.000580174,0.000580174,0.000580174
32,21541.4,0.62486,0.37126,0.89242,0.95376,0.93332,0.97643,0.82959,0.59032,0.33311,0.90347,0.00055188,0.00055188,0.00055188
33,22133.3,0.61923,0.3692,0.89495,0.96602,0.92268,0.97345,0.82669,0.58835,0.33351,0.90184,0.000523586,0.000523586,0.000523586
34,23081.3,0.60559,0.35881,0.88581,0.93965,0.94496,0.97589,0.83118,0.57606,0.32894,0.89556,0.000495291,0.000495291,0.000495291
35,23865.6,0.60282,0.35686,0.88191,0.9514,0.94023,0.97744,0.83601,0.57316,0.32652,0.89132,0.000466997,0.000466997,0.000466997
36,24377.4,0.59692,0.35527,0.88117,0.94969,0.94745,0.97503,0.83349,0.57315,0.3256,0.89417,0.000438703,0.000438703,0.000438703
37,25098.8,0.5913,0.35242,0.8829,0.94576,0.949,0.97702,0.84473,0.562,0.32045,0.89156,0.000410409,0.000410409,0.000410409
38,26809.5,0.58189,0.34672,0.87845,0.96781,0.9318,0.97859,0.84438,0.55896,0.31562,0.8895,0.000382115,0.000382115,0.000382115
39,27660.3,0.57455,0.34019,0.87401,0.95979,0.94786,0.97614,0.8454,0.55556,0.31304,0.89016,0.00035382,0.00035382,0.00035382
40,28227.7,0.56827,0.33641,0.87396,0.96479,0.93735,0.97948,0.85215,0.55498,0.30962,0.8883,0.000325526,0.000325526,0.000325526
41,28728.8,0.53294,0.29813,0.85128,0.96794,0.92213,0.97628,0.8384,0.56245,0.31739,0.88805,0.000297232,0.000297232,0.000297232
42,29267.5,0.5225,0.29239,0.84735,0.95963,0.94093,0.97971,0.84899,0.55949,0.31198,0.88593,0.000268938,0.000268938,0.000268938
43,29710.8,0.51242,0.28597,0.8432,0.96543,0.93306,0.98131,0.85241,0.55166,0.30785,0.88648,0.000240644,0.000240644,0.000240644
44,30153.2,0.50448,0.28111,0.84335,0.96673,0.93623,0.97984,0.84956,0.54423,0.305,0.88438,0.000212349,0.000212349,0.000212349
45,30628.5,0.49511,0.27532,0.83675,0.96576,0.93579,0.97913,0.85107,0.54044,0.3044,0.88201,0.000184055,0.000184055,0.000184055
46,31411.6,0.4848,0.27036,0.83809,0.96471,0.9385,0.98105,0.86114,0.53488,0.29955,0.87943,0.000155761,0.000155761,0.000155761
47,32058.2,0.47469,0.26532,0.83381,0.96261,0.93415,0.98102,0.86044,0.52773,0.29935,0.87771,0.000127467,0.000127467,0.000127467
48,32549.1,0.47103,0.2615,0.83159,0.96862,0.93885,0.98052,0.86237,0.52721,0.29378,0.87765,9.91726e-05,9.91726e-05,9.91726e-05
49,32939.7,0.46071,0.25693,0.82905,0.96392,0.94202,0.98131,0.86411,0.52544,0.29168,0.87815,7.08784e-05,7.08784e-05,7.08784e-05
50,33576.2,0.45373,0.25248,0.82714,0.96015,0.94876,0.98125,0.86215,0.52194,0.29203,0.8762,4.25842e-05,4.25842e-05,4.25842e-05
