epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2209.3,1.25625,1.13645,1.16811,0.44861,0.46504,0.46042,0.30563,1.23917,1.11848,1.20974,0.000475202,0.000475202,0.000475202
2,4418.85,1.32315,1.07049,1.21794,0.65258,0.41418,0.47949,0.31515,1.19567,1.63519,1.20165,0.000932695,0.000932695,0.000932695
3,6612.34,1.25987,0.99398,1.18423,0.713,0.55901,0.60931,0.39841,1.1052,0.86729,1.1368,0.00137132,0.00137132,0.00137132
4,8586.25,1.20824,0.92101,1.1572,0.72389,0.57042,0.66635,0.44855,1.0647,0.87686,1.11299,0.00134412,0.00134412,0.00134412
5,10772.6,1.1392,0.8605,1.11726,0.76439,0.59797,0.69806,0.47966,1.02073,0.73594,1.07842,0.00131582,0.00131582,0.00131582
6,12907.8,1.10205,0.80192,1.09831,0.76617,0.65092,0.75016,0.51899,0.99814,0.68499,1.07709,0.00128753,0.00128753,0.00128753
7,15629.2,1.07067,0.77372,1.08279,0.76284,0.64193,0.72928,0.51978,0.95069,0.718,1.0508,0.00125923,0.00125923,0.00125923
8,17706.6,1.04826,0.74609,1.07139,0.83759,0.67749,0.77961,0.56808,0.93784,0.62978,1.04367,0.00123094,0.00123094,0.00123094
9,19714.2,1.02541,0.72318,1.06165,0.78251,0.69301,0.77886,0.56526,0.92039,0.63729,1.02575,0.00120265,0.00120265,0.00120265
