epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6052,1.41555,1.74535,1.11706,0.59914,0.4442,0.48263,0.31987,1.22066,1.16313,1.06462,0.000475202,0.000475202,0.000475202
2,76.8861,1.31465,1.1993,1.10383,0.66528,0.53259,0.60257,0.40303,1.1558,0.96481,1.03606,0.000932695,0.000932695,0.000932695
3,112.458,1.29004,1.05119,1.10276,0.73872,0.50453,0.60309,0.38556,1.15903,0.9496,1.0734,0.00137132,0.00137132,0.00137132
4,147.601,1.24966,0.9872,1.08774,0.72409,0.55262,0.64346,0.43087,1.09898,0.84708,1.03073,0.00134412,0.00134412,0.00134412
5,182.748,1.20227,0.9369,1.06525,0.71021,0.60194,0.66394,0.44392,1.07327,0.81421,1.01669,0.00131582,0.00131582,0.00131582
6,217.771,1.17312,0.88666,1.05255,0.73932,0.59388,0.66081,0.44949,1.083,0.79352,1.03323,0.00128753,0.00128753,0.00128753
7,252.979,1.15291,0.8547,1.04015,0.7685,0.59607,0.70672,0.48699,1.02134,0.74893,0.99649,0.00125923,0.00125923,0.00125923
8,288.046,1.13621,0.83727,1.03774,0.7618,0.63117,0.70591,0.48515,1.01912,0.73332,1.00736,0.00123094,0.00123094,0.00123094
9,323.169,1.12752,0.82697,1.03798,0.782,0.64185,0.7365,0.51583,0.98112,0.71311,0.98322,0.00120265,0.00120265,0.00120265
10,358.345,1.09973,0.79941,1.02438,0.81337,0.63192,0.73463,0.51392,0.98257,0.71355,0.9818,0.00117435,0.00117435,0.00117435
11,393.412,1.08753,0.78441,1.02259,0.81082,0.6313,0.75208,0.53457,0.96192,0.69397,0.97808,0.00114606,0.00114606,0.00114606
12,428.545,1.08084,0.78051,1.01521,0.79277,0.68005,0.7615,0.544,0.95215,0.67326,0.97013,0.00111776,0.00111776,0.00111776
13,463.598,1.0654,0.75546,1.00882,0.8586,0.67415,0.78625,0.56391,0.94036,0.66658,0.97065,0.00108947,0.00108947,0.00108947
14,498.901,1.05907,0.75222,1.00908,0.81693,0.71792,0.79525,0.56184,0.93522,0.65847,0.96713,0.00106118,0.00106118,0.00106118
15,534.04,1.04145,0.73158,1.00024,0.79114,0.73535,0.79655,0.5726,0.91716,0.63118,0.96597,0.00103288,0.00103288,0.00103288
16,569.235,1.02843,0.71936,0.9955,0.85412,0.72405,0.82335,0.59152,0.90131,0.61342,0.95934,0.00100459,0.00100459,0.00100459
17,604.466,1.02432,0.71387,0.99306,0.86471,0.72078,0.82751,0.59904,0.8937,0.60454,0.95833,0.000976293,0.000976293,0.000976293
18,639.605,1.01924,0.70861,0.99526,0.84328,0.73083,0.82981,0.60585,0.89634,0.61342,0.96081,0.000947999,0.000947999,0.000947999
19,675.447,1.00792,0.69833,0.98909,0.80187,0.73645,0.81947,0.59783,0.87939,0.60121,0.95373,0.000919704,0.000919704,0.000919704
20,711.653,1.00063,0.68913,0.98509,0.8449,0.76836,0.85735,0.62519,0.86922,0.58186,0.94928,0.00089141,0.00089141,0.00089141
21,746.792,0.99058,0.68586,0.98504,0.89843,0.71872,0.85001,0.63221,0.86911,0.57254,0.95229,0.000863116,0.000863116,0.000863116
22,781.94,0.9799,0.67502,0.98079,0.91728,0.72299,0.85408,0.63441,0.85819,0.56861,0.94934,0.000834822,0.000834822,0.000834822
23,816.996,0.97334,0.66187,0.97604,0.8894,0.74347,0.8608,0.64052,0.84606,0.56238,0.93779,0.000806528,0.000806528,0.000806528
24,852.102,0.96244,0.65753,0.97258,0.87582,0.75997,0.86411,0.64407,0.84775,0.55417,0.94007,0.000778233,0.000778233,0.000778233
