epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5948,1.41926,1.922,1.13194,0.49296,0.49699,0.47734,0.31312,1.17406,1.10704,1.02396,0.00332542,0.00332542,0.00332542
2,80.9197,1.31184,1.33782,1.09061,0.56532,0.55143,0.56875,0.38048,1.17284,1.04563,1.01967,0.00663678,0.00663678,0.00663678
3,116.214,1.32321,1.2132,1.10315,0.65367,0.51577,0.5733,0.36454,1.19117,1.03834,1.0398,0.00992613,0.00992613,0.00992613
4,150.514,1.32333,1.129,1.11346,0.70688,0.54757,0.60467,0.40313,1.12679,0.92378,1.03803,0.009901,0.009901,0.009901
5,185.218,1.26374,1.01602,1.08872,0.6821,0.55542,0.61671,0.40034,1.13985,0.94429,1.05045,0.009868,0.009868,0.009868
6,218.632,1.22326,0.94934,1.07094,0.70377,0.55164,0.64939,0.4443,1.06181,0.81068,1.02466,0.009835,0.009835,0.009835
7,253.18,1.18999,0.90586,1.06069,0.70141,0.58317,0.65462,0.45114,1.05889,0.82324,1.01969,0.009802,0.009802,0.009802
8,286.106,1.1742,0.87679,1.05631,0.75675,0.59243,0.67426,0.46516,1.0446,0.78712,1.01257,0.009769,0.009769,0.009769
9,319.228,1.15873,0.85993,1.05239,0.81357,0.62216,0.72454,0.50655,1.00208,0.72042,1.00207,0.009736,0.009736,0.009736
10,352.123,1.13237,0.83444,1.04132,0.80339,0.65933,0.75863,0.52193,0.99486,0.72423,1.00192,0.009703,0.009703,0.009703
11,385.185,1.12009,0.81822,1.03826,0.79851,0.65998,0.76021,0.52612,0.98411,0.71263,0.99911,0.00967,0.00967,0.00967
12,420.604,1.10596,0.80006,1.02911,0.79453,0.6684,0.74823,0.52889,0.95661,0.69391,0.98731,0.009637,0.009637,0.009637
13,454.959,1.08382,0.77528,1.02109,0.82522,0.66184,0.7822,0.56498,0.95301,0.66698,0.98629,0.009604,0.009604,0.009604
14,488.139,1.08527,0.77416,1.02417,0.83771,0.69611,0.80798,0.57254,0.94846,0.65245,0.97925,0.009571,0.009571,0.009571
15,520.245,1.07078,0.75694,1.01639,0.82997,0.72175,0.81715,0.5849,0.92935,0.64094,0.97725,0.009538,0.009538,0.009538
16,551.566,1.05333,0.74016,1.00745,0.79531,0.73644,0.80757,0.5703,0.92847,0.65274,0.97273,0.009505,0.009505,0.009505
